category_name,category_id
Q681437,http://www.wikidata.org/entity/Q681437
Madí,http://www.wikidata.org/entity/Q692924
Viennese Actionism,http://www.wikidata.org/entity/Q695830
Vormärz,http://www.wikidata.org/entity/Q700923
pre-Romanesque art,http://www.wikidata.org/entity/Q708807
Ashcan School,http://www.wikidata.org/entity/Q724976
graphic novel,http://www.wikidata.org/entity/Q725377
Congrès International d'Architecture Moderne,http://www.wikidata.org/entity/Q727738
Pompeian Styles,http://www.wikidata.org/entity/Q740856
hyperrealism,http://www.wikidata.org/entity/Q749832
Japonisme,http://www.wikidata.org/entity/Q751880
metaphysical painting,http://www.wikidata.org/entity/Q753683
art of the Paleolithic,http://www.wikidata.org/entity/Q755548
Renaissance of the 12th century,http://www.wikidata.org/entity/Q755709
ink wash painting,http://www.wikidata.org/entity/Q756712
Lettrism,http://www.wikidata.org/entity/Q768100
Bergen School,http://www.wikidata.org/entity/Q819534
en plein air,http://www.wikidata.org/entity/Q829298
Harlem Renaissance,http://www.wikidata.org/entity/Q829895
Etruscan art,http://www.wikidata.org/entity/Q830331
Inuit art,http://www.wikidata.org/entity/Q830891
Kerch style,http://www.wikidata.org/entity/Q831784
social realism,http://www.wikidata.org/entity/Q837024
shin-hanga,http://www.wikidata.org/entity/Q842183
mail art,http://www.wikidata.org/entity/Q843393
neoplasticism,http://www.wikidata.org/entity/Q845421
Decadent movement,http://www.wikidata.org/entity/Q846094
cinquecento,http://www.wikidata.org/entity/Q847706
primitivism,http://www.wikidata.org/entity/Q848365
pictorialism,http://www.wikidata.org/entity/Q851869
neorealism,http://www.wikidata.org/entity/Q858436
Company style,http://www.wikidata.org/entity/Q861297
International Gothic,http://www.wikidata.org/entity/Q867769
New Leipzig School,http://www.wikidata.org/entity/Q878864
modernism,http://www.wikidata.org/entity/Q878985
Cloisonnism,http://www.wikidata.org/entity/Q889525
Nine lyric poets,http://www.wikidata.org/entity/Q890347
Bolognese School,http://www.wikidata.org/entity/Q891532
Borre style,http://www.wikidata.org/entity/Q894150
Migration Period art,http://www.wikidata.org/entity/Q897054
vorticism,http://www.wikidata.org/entity/Q915841
ero guro,http://www.wikidata.org/entity/Q933272
Novecento Italiano,http://www.wikidata.org/entity/Q933661
Neo-Dada,http://www.wikidata.org/entity/Q935292
Renaissance sculpture,http://www.wikidata.org/entity/Q936588
Mexican muralism,http://www.wikidata.org/entity/Q938864
photorealism,http://www.wikidata.org/entity/Q939559
Rayonism,http://www.wikidata.org/entity/Q941875
Hudson River school,http://www.wikidata.org/entity/Q943853
Bengal School of Art,http://www.wikidata.org/entity/Q948504
Anglo-Saxon art,http://www.wikidata.org/entity/Q958255
classical Greek sculpture,http://www.wikidata.org/entity/Q962151
New Valencian School,http://www.wikidata.org/entity/Q974521
Proto-Renaissance,http://www.wikidata.org/entity/Q979160
Merovingian art,http://www.wikidata.org/entity/Q988346
Európai Iskola,http://www.wikidata.org/entity/Q993247
Mughal painting,http://www.wikidata.org/entity/Q1049336
Informalism,http://www.wikidata.org/entity/Q1054254
Centro de Arte y Comunicación,http://www.wikidata.org/entity/Q1054333
Ottonian art,http://www.wikidata.org/entity/Q1066218
Chen-style t'ai chi ch'uan,http://www.wikidata.org/entity/Q1069681
Section d'Or,http://www.wikidata.org/entity/Q1086353
studio glass,http://www.wikidata.org/entity/Q1089246
Catalan modernism,http://www.wikidata.org/entity/Q1122677
Post-romanticism,http://www.wikidata.org/entity/Q1125039
Young Poland,http://www.wikidata.org/entity/Q1133329
Costumbrismo,http://www.wikidata.org/entity/Q1136545
Polish School of Posters,http://www.wikidata.org/entity/Q1141441
Zhe school,http://www.wikidata.org/entity/Q1150941
Escuela de Vallecas,http://www.wikidata.org/entity/Q1153335
Luminism,http://www.wikidata.org/entity/Q1159870
